Vaccine,Brandname/ Tradename,NDC,Packaging,CDC Cost/ Dose,Private Sector Cost/ Dose,Contract End Date,Manufacturer,Contract Number,Date
Influenza [6] [5],Fluzone,,10 dose vials,$9.97 ,$11.72 ,2/28/2009,Sanofi Pasteur,,2/5/2009
Influenza [5],Fluzone,,10 pack – 1 dose syringes,$14.25 ,$16.09 ,2/28/2009,Sanofi Pasteur,,2/5/2009
Influenza [6] [5](Age 4 years and older),Fluvirin,,10 dose vials,$9.25 ,$12.48 ,2/28/2009,Novartis,,2/5/2009
Influenza [5],Fluarix,,10 dose vials,$6.70 ,$11.10 ,2/28/2009,GlaxoSmithKline,,2/5/2009
Influenza [5],FluMist,,10 pack – 1 dose sprayers,$18.50 ,$19.70 ,2/28/2009,MedImmune,,2/5/2009
Influenza [5],Fluzone®,,10 dose vials,$8.15 ,$11.17 ,2/28/2010,Sanofi Pasteur,,5/1/2009
Influenza [5],Fluzone®,,10 pack – 1 dose syringes,$8.90 ,$12.41 ,2/28/2010,Sanofi Pasteur,,5/1/2009
Influenza [6][5],Fluvirin®,,10 dose vials,$4.90 ,$9.75 ,2/28/2010,Novartis,,5/1/2009
Influenza [6][5],Fluvirin® Preservative-free,,10 pack-1 dose syringes,$6.25 ,$11.25 ,2/28/2010,Novartis,,5/1/2009
Influenza [5],Fluraix®,,10 pack – 1 dose vials,$8.90 ,$13.25 ,2/28/2010,GlaxoSmithKline,,5/1/2009
Influenza [5],Fluraix® Preservative-free,,5 pack – 1 dose syringes,$8.90 ,$13.25 ,2/28/2010,GlaxoSmithKline,,5/1/2009
Influenza [5],FluLaval,,10 dose vials,$6.70 ,$10.50 ,2/28/2010,GlaxoSmithKline,,5/1/2009
Influenza [5],Afluria® Preservative-free,,10 pack-1 dose syringes,$7.00 ,$8.00 ,2/28/2010,CSL,,5/1/2009
Influenza [5],Afluria,,10 dose vials,$6.00 ,$7.00 ,2/28/2010,CSL,,5/1/2009
Influenza [5],Fluzone®,,10 dose vials,$8.15 ,$11.17 ,2/28/2010,Sanofi Pasteur,,8/7/2009
Influenza [5],Fluzone®,,10 pack – 1 dose syringes,$8.90 ,$12.41 ,2/28/2010,Sanofi Pasteur,,8/7/2009
Influenza [6][5],Fluvirin®,,10 dose vials,$4.90 ,$9.75 ,2/28/2010,Novartis,,8/7/2009
Influenza [6][5],Fluvirin® Preservative-free,,10 pack-1 dose syringes,$6.25 ,$11.25 ,2/28/2010,Novartis,,8/7/2009
Influenza [5],Fluraix®,,10 pack – 1 dose vials,$8.90 ,$13.25 ,2/28/2010,GlaxoSmithKline,,8/7/2009
Influenza [5],Fluraix® Preservative-free,,5 pack – 1 dose syringes,$8.90 ,$13.25 ,2/28/2010,GlaxoSmithKline,,8/7/2009
Influenza [5],FluLaval,,10 dose vials,$6.70 ,$10.50 ,2/28/2010,GlaxoSmithKline,,8/7/2009
Influenza [5],Afluria®,,10 pack-1 dose syringes,$7.00 ,$8.00 ,2/28/2010,CSL,,8/7/2009
Influenza [5][6],Afluria,,10 dose vials,$6.00 ,$7.00 ,2/28/2010,CSL,,8/7/2009
Influenza [5],Fluzone®,,10 dose vials,$8.15 ,$9.72 ,2/28/2010,Sanofi Pasteur,,10/9/2009
Influenza [5],Fluzone®,,10 pack – 1 dose syringes,$8.90 ,$10.71 ,2/28/2010,Sanofi Pasteur,,10/9/2009
Influenza [6][5],Fluvirin®,,10 dose vials,$4.90 ,$9.75 ,2/28/2010,Novartis,,10/9/2009
Influenza [6][5],Fluvirin® Preservative-free,,10 pack-1 dose syringes,$6.25 ,$11.25 ,2/28/2010,Novartis,,10/9/2009
Influenza [5],Fluraix®,,10 pack – 1 dose vials,$8.90 ,$13.25 ,2/28/2010,GlaxoSmithKline,,10/9/2009
Influenza [5],Fluraix® Preservative-free,,5 pack – 1 dose syringes,$8.90 ,$13.25 ,2/28/2010,GlaxoSmithKline,,10/9/2009
Influenza [5],FluLaval,,10 dose vials,$6.70 ,$10.50 ,2/28/2010,GlaxoSmithKline,,10/9/2009
Influenza [5],Afluria®,,10 pack-1 dose syringes,$7.00 ,$8.00 ,2/28/2010,CSL,,10/9/2009
Influenza [5][6],Afluria,,10 dose vials,$6.00 ,$7.00 ,2/28/2010,CSL,,10/9/2009
Influenza [5],Fluzone,,10 dose vials,$8.15 ,$9.72 ,2/28/2010,Sanofi Pasteur,,1/12/2010
Influenza [5],Fluzone,,10 pack – 1 dose syringes,$8.90 ,$10.71 ,2/28/2010,Sanofi Pasteur,,1/12/2010
Influenza[6][5],Fluvirin,,10 dose vials,$4.90 ,$9.75 ,2/28/2010,Novartis,,1/12/2010
Influenza [6][5],Fluvirin,,10 pack-1 dose syringes,$6.25 ,$11.25 ,2/28/2010,Novartis,,1/12/2010
Influenza [5],Fluraix,,5 pack – 1 dose syringe,$8.90 ,$13.25 ,2/28/2010,GlaxoSmithKline,,1/12/2010
Influenza [5],FluLaval,,10 dose vial,$6.70 ,$10.50 ,2/28/2010,GlaxoSmithKline,,1/12/2010
Influenza [5],Afluri,,10 pack-1 dose syringe,$7.00 ,$8.00 ,2/28/2010,CSL,,1/12/2010
Influenza [5][6],Afluria,,10 dose vial,$6.00 ,$7.00 ,2/28/2010,CSL,,1/12/2010
Influenza [5],Fluzone®,,10 dose vials,$8.27 ,$11.17 ,2/28/2011,Sanofi Pasteur,,4/6/2010
Influenza [5],Fluzone®,,10 pack – 1 dose syringes,$9.06 ,$12.41 ,2/28/2011,Sanofi Pasteur,,4/6/2010
Influenza [5],Agriflu®,,10 pack – 1 dose syringes,$12.75 ,$13.25 ,2/28/2011,Novartis,,4/6/2010
Influenza [6] [5],Fluvirin®,,10 dose vials,$11.25 ,$11.75 ,2/28/2011,Novartis,,4/6/2010
Influenza [6] [5],Fluvirin®,,10 pack-1 dose syringes,$12.75 ,$13.25 ,2/28/2011,Novartis,,4/6/2010
Influenza [5],Fluraix®,,5 pack – 1 dose syringe,$8.90 ,$10.98 ,2/28/2011,GlaxoSmithKline,,4/6/2010
Influenza [6] [5],FluLaval®,,10 dose vial,$6.70 ,$7.83 ,2/28/2011,GlaxoSmithKline,,4/6/2010
Influenza [5],Flumist®,,10 pack-1 dose sprayers,$15.70 ,$19.70 ,2/28/2011,MedImmune,,4/6/2010
Influenza [5],Fluzone®,49281-0386-15,10 dose vials,$8.27 ,$11.17 ,2/28/2011,Sanofi Pasteur,200-2010-3748,8/3/2010
Influenza [5],Fluzone®,49281-0010-50,10 pack – 1 dose syringes,$9.06 ,$12.41 ,2/28/2011,Sanofi Pasteur,200-2010-33748,8/3/2010
Influenza [5],Agriflu®,46028-0109-01,10 pack – 1 dose syringes,$12.75 ,$13.25 ,2/28/2011,Novartis,200-2010-33747,8/3/2010
Influenza [6] [5],Fluvirin®,66521-0113-10,10 dose vials,$11.25 ,$11.75 ,2/28/2011,Novartis,200-2010-33747,8/3/2010
Influenza [6] [5],Fluvirin®,66521-0113-02,10 pack-1 dose syringes,$12.75 ,$13.25 ,2/28/2011,Novartis,200-2010-33747,8/3/2010
Influenza [5],Fluarix®,58160-0877-46,5 pack – 1 dose syringe,$8.90 ,$10.98 ,2/28/2011,GlaxoSmithKline,200-2010-33745,8/3/2010
Influenza [6] [5],FluLaval®,19515-0887-07,10 dose vial,$6.70 ,$7.83 ,2/28/2011,GlaxoSmithKline,200-2010-33745,8/3/2010
Influenza [5],Flumist®,66019-0108-10,10 pack-1 dose sprayers,$15.70 ,$19.70 ,2/28/2011,MedImmune,200-2010-33746,8/3/2010
Influenza [5],Fluzone®,49281-0386-15,10 dose vials,$8.27 ,$11.17 ,2/28/2011,Sanofi Pasteur,200-2010-3748,10/6/2010
Influenza [5],Fluzone®,49281-0010-50,10 pack – 1 dose syringes,$9.06 ,$12.41 ,2/28/2011,Sanofi Pasteur,200-2010-33748,10/6/2010
Influenza [5],Agriflu®,46028-0110-01,10 pack – 1 dose syringes,$12.75 ,$13.25 ,2/28/2011,Novartis,200-2010-33747,10/6/2010
Influenza [6] [5],Fluvirin®,66521-0113-10,10 dose vials,$11.25 ,$11.75 ,2/28/2011,Novartis,200-2010-33747,10/6/2010
Influenza [6] [5],Fluvirin®,66521-0113-02,10 pack-1 dose syringes,$12.75 ,$13.25 ,2/28/2011,Novartis,200-2010-33747,10/6/2010
Influenza [5],Fluarix®,58160-0877-46,5 pack – 1 dose syringe,$8.90 ,$10.98 ,2/28/2011,GlaxoSmithKline,200-2010-33745,10/6/2010
Influenza [6] [5],FluLaval®,19515-0887-07,10 dose vial,$6.70 ,$7.83 ,2/28/2011,GlaxoSmithKline,200-2010-33745,10/6/2010
Influenza [5],Flumist®,66019-0108-10,10 pack-1 dose sprayers,$15.70 ,$19.70 ,2/28/2011,MedImmune,200-2010-33746,10/6/2010
"Influenza [5, 6]",Fluzone,49281-0386-15,10 dose vial,$9.30 ,$11.17 ,2/28/2011,Sanofi Pasteur,200-2010-33748,1/1/2011
Influenza [5],Fluzone,49281-0010-10,10 pack – 1 dose vial,$10.97 ,$12.41 ,2/28/2011,Sanofi Pasteur,200-2010-33748,1/1/2011
Influenza [5],Agriflu,46028-0110-01,10 pack -1 dose syringe,$12.75 ,$13.25 ,2/28/2011,Novartis,200-2010-33747,1/1/2011
"Influenza [5, 6]",Fluvirin,66521-0113-10,10 dose vial,$11.25 ,$11.75 ,2/28/2011,Novartis,200-2010-33747,1/1/2011
Influenza [5],Fluarix,58160-0877-52,5 pack – 1 dose syringe,$8.90 ,$10.98 ,2/28/2011,GlaxoSmithKline,200-2010-33745,1/1/2011
"Influenza [5, 6]",FluLaval,19515-0887-07,10 dose vial,$6.70 ,$7.83 ,2/28/2011,GlaxoSmithKline,200-2010-33745,1/1/2011
Influenza [5],FluMist,66019-0108-10,10 pack -1 dose sprayer,$15.70 ,$19.70 ,2/28/2011,MedImmune,200-2010-33746,1/1/2011
"Influenza [5, 6] (Age 6 months and older)",Fluzone®,49281-0388-15,10 dose vial,$9.30 ,$11.17 ,2/29/2012,Sanofi Pasteur,200-2011-38145,4/8/2011
Influenza [5] (age 36 months and older),Fluzone®,49281-0011-50,10 pack – 1 dose syringe,$10.97 ,$12.41 ,2/29/2012,Sanofi Pasteur,200-2011-38145,4/8/2011
Influenza [5] (age 36 months and older),Fluzone®,49281-0011-10,10 pack – 1 dose vial,$10.97 ,$12.41 ,2/29/2012,Sanofi Pasteur,200-2011-38145,4/8/2011
