current_season,month,numerator,population,jurisdiction,estimate,age_group_label,legend 
2021-22,FEB,336224,874244,Alabama,0.3846,65+ years,"2021-22, Alabama: 65+ years"
2021-22,JUL,1,2226,N. Mariana Islands,0.0004,2-4 years,"2021-22, N. Mariana Islands: 2-4 years"
2021-22,OCT,212099,1335281,Tennessee,0.1588,50-64 years,"2021-22, Tennessee: 50-64 years"
2021-22,OCT,218134,1428520,West Virginia,0.1527,18+ years,"2021-22, West Virginia: 18+ years"
2022-23,DEC,,,Nebraska,,18-49 years,"2022-23, Nebraska: 18-49 years"
2022-23,MAR,76135,212202,Minnesota,0.3588,2-4 years,"2022-23, Minnesota: 2-4 years"
2022-23,OCT,777034,3539890,Connecticut,0.2195,Overall,"2022-23, Connecticut: Overall"
2021-22,AUG,98,79533.5,Kentucky,0.0012,6-23 months,"2021-22, Kentucky: 6-23 months"
2021-22,JAN,654884,3752487,New York City,0.1745,18-49 years,"2021-22, New York City: 18-49 years"
2021-22,SEP,124496,2707942,Illinois,0.046,6 months to 17 years,"2021-22, Illinois: 6 months to 17 years"
2022-23,AUG,53,52303,Montana,0.001,9-12 years,"2022-23, Montana: 9-12 years"
2022-23,DEC,30733,216150,Oklahoma,0.1422,9-12 years,"2022-23, Oklahoma: 9-12 years"
2022-23,OCT,32909,103776,Wyoming,0.3171,65+ years,"2022-23, Wyoming: 65+ years"
2023-24,FEB,400232,2794631,Indiana,0.1432,18-49 years,"2023-24, Indiana: 18-49 years"
2021-22,DEC,2,5553,U.S. Virgin Islands ,0.0004,5-8 years,"2021-22, U.S. Virgin Islands : 5-8 years"
2021-22,FEB,,,Virginia,,2-4 years,"2021-22, Virginia: 2-4 years"
2021-22,FEB,478299,1568273.5,Philadelphia,0.305,Overall,"2021-22, Philadelphia: Overall"
2021-22,JAN,149782,305994,Idaho,0.4895,65+ years,"2021-22, Idaho: 65+ years"
2021-22,JUL,15,366688,Arizona,0,5-8 years,"2021-22, Arizona: 5-8 years"
2021-22,JUL,42,504671,North Carolina,0.0001,5-8 years,"2021-22, North Carolina: 5-8 years"
2022-23,MAR,276765,784957,Oregon,0.3526,50-64 years,"2022-23, Oregon: 50-64 years"
2022-23,NOV,102814,360714,New York City,0.285,9-12 years,"2022-23, New York City: 9-12 years"
2023-24,AUG,102,2608,American Samoa,0.0391,2-4 years,"2023-24, American Samoa: 2-4 years"
2023-24,NOV,5250,17361,Vermont,0.3024,2-4 years,"2023-24, Vermont: 2-4 years"
2021-22,JUN,203881,941363,Florida,0.2166,5-8 years,"2021-22, Florida: 5-8 years"
2021-22,MAR,1055453,3226163.5,Utah,0.3272,Overall,"2021-22, Utah: Overall"
2021-22,NOV,1,6338,U.S. Virgin Islands ,0.0002,13-17 years,"2021-22, U.S. Virgin Islands : 13-17 years"
2021-22,NOV,32166,136613,Oregon,0.2355,2-4 years,"2021-22, Oregon: 2-4 years"
2021-22,OCT,5905,25620,Vermont,0.2305,9-12 years,"2021-22, Vermont: 9-12 years"
2022-23,JUL,,,Nebraska,,5-8 years,"2022-23, Nebraska: 5-8 years"
2021-22,APR,118737,460572,Washington,0.2578,13-17 years,"2021-22, Washington: 13-17 years"
2021-22,JUN,15377,45161,Delaware,0.3405,5-8 years,"2021-22, Delaware: 5-8 years"
2021-22,NOV,46764,260352,Arizona,0.1796,2-4 years,"2021-22, Arizona: 2-4 years"
2021-22,SEP,38930,962974,Alabama,0.0404,50-64 years,"2021-22, Alabama: 50-64 years"
2022-23,JUN,59075,205956,Utah,0.2868,5-8 years,"2022-23, Utah: 5-8 years"
2022-23,MAR,44761,301827,Louisiana,0.1483,13-17 years,"2022-23, Louisiana: 13-17 years"
2022-23,MAY,8115,37112,Montana,0.2187,2-4 years,"2022-23, Montana: 2-4 years"
2023-24,JUL,,,Kansas,,6 months to 17 years,"2023-24, Kansas: 6 months to 17 years"
2023-24,MAR,9259380,30576844,California,0.3028,18+ years,"2023-24, California: 18+ years"
2023-24,NOV,9608,54432.5,Arkansas,0.1765,6-23 months,"2023-24, Arkansas: 6-23 months"
2023-24,SEP,853649,17380305,California,0.0491,18-49 years,"2023-24, California: 18-49 years"
2021-22,APR,468726,789527,Oregon,0.5937,65+ years,"2021-22, Oregon: 65+ years"
2022-23,DEC,441388,1991746,California,0.2216,9-12 years,"2022-23, California: 9-12 years"
2022-23,DEC,8,81507,U.S. Virgin Islands ,0.0001,18+ years,"2022-23, U.S. Virgin Islands : 18+ years"
2022-23,FEB,115671,547437,Georgia,0.2113,5-8 years,"2022-23, Georgia: 5-8 years"
2022-23,FEB,388090,1498072,New York City,0.2591,50-64 years,"2022-23, New York City: 50-64 years"
2022-23,NOV,,,Rhode Island,,5-8 years,"2022-23, Rhode Island: 5-8 years"
2023-24,FEB,39119,147011,Utah,0.2661,2-4 years,"2023-24, Utah: 2-4 years"
2023-24,MAR,852038,4311636,Florida,0.1976,50-64 years,"2023-24, Florida: 50-64 years"
2021-22,AUG,1,3754,N. Mariana Islands,0.0003,65+ years,"2021-22, N. Mariana Islands: 65+ years"
2021-22,JUL,1,3732,Marshall Islands,0.0003,65+ years,"2021-22, Marshall Islands: 65+ years"
2021-22,NOV,,,Virginia,,2-4 years,"2021-22, Virginia: 2-4 years"
2021-22,SEP,857,41226,Alaska,0.0208,5-8 years,"2021-22, Alaska: 5-8 years"
2022-23,APR,494792,1622553.5,Washington,0.3049,6 months to 17 years,"2022-23, Washington: 6 months to 17 years"
2022-23,JUL,92,2512075,Maryland,0,18-49 years,"2022-23, Maryland: 18-49 years"
2022-23,JUL,6,53615.5,Mississippi,0.0001,6-23 months,"2022-23, Mississippi: 6-23 months"
2022-23,MAR,61510,260352,Arizona,0.2363,2-4 years,"2022-23, Arizona: 2-4 years"
2022-23,NOV,360523,2072888.5,Michigan,0.1739,6 months to 17 years,"2022-23, Michigan: 6 months to 17 years"
2023-24,DEC,179445,510181,Vermont,0.3517,18+ years,"2023-24, Vermont: 18+ years"
2021-22,DEC,42632,223108,Kentucky,0.1911,9-12 years,"2021-22, Kentucky: 9-12 years"
2021-22,FEB,74856,1212056,Mississippi,0.0618,18-49 years,"2021-22, Mississippi: 18-49 years"
2021-22,FEB,5,355.5,Republic of Palau,0.014,6-23 months,"2021-22, Republic of Palau: 6-23 months"
2021-22,OCT,75,13771,Guam,0.0054,13-17 years,"2021-22, Guam: 13-17 years"
2021-22,SEP,9439,207146,Montana,0.0456,50-64 years,"2021-22, Montana: 50-64 years"
2022-23,FEB,,,Massachusetts,,18-49 years,"2022-23, Massachusetts: 18-49 years"
2022-23,JAN,582,5706,Federated States of Micronesia,0.102,2-4 years,"2022-23, Federated States of Micronesia: 2-4 years"
2022-23,OCT,30678,95876,Alaska,0.32,65+ years,"2022-23, Alaska: 65+ years"
2023-24,AUG,65,72986,New Mexico,0.0009,2-4 years,"2023-24, New Mexico: 2-4 years"
2023-24,AUG,2134,905560.5,Utah,0.0024,6 months to 17 years,"2023-24, Utah: 6 months to 17 years"
2023-24,DEC,140148,676599,Pennsylvania (excluding Philadelphia County),0.2071,13-17 years,"2023-24, Pennsylvania (excluding Philadelphia County): 13-17 years"
2023-24,MAR,,,South Carolina,,13-17 years,"2023-24, South Carolina: 13-17 years"
2021-22,JUL,7,212202,Minnesota,0,2-4 years,"2021-22, Minnesota: 2-4 years"
2021-22,JUN,214922,1059160,Alabama,0.2029,6 months to 17 years,"2021-22, Alabama: 6 months to 17 years"
2021-22,NOV,654784,1574667,Georgia,0.4158,65+ years,"2021-22, Georgia: 65+ years"
2021-22,NOV,388658,1816139.5,Idaho,0.214,Overall,"2021-22, Idaho: Overall"
2021-22,OCT,1743369,8789112,New York (excluding New York City),0.1984,18+ years,"2021-22, New York (excluding New York City): 18+ years"
2022-23,AUG,149,46331,Delaware,0.0032,9-12 years,"2022-23, Delaware: 9-12 years"
2022-23,JUN,213961,975661.5,Kentucky,0.2193,6 months to 17 years,"2022-23, Kentucky: 6 months to 17 years"
2023-24,NOV,293,5706,Federated States of Micronesia,0.0513,2-4 years,"2023-24, Federated States of Micronesia: 2-4 years"
2023-24,SEP,7515,192782,Oregon,0.039,5-8 years,"2023-24, Oregon: 5-8 years"
2023-24,SEP,212253,3475334,Kentucky,0.0611,18+ years,"2023-24, Kentucky: 18+ years"
2021-22,AUG,1508,52209,Connecticut,0.0289,6-23 months,"2021-22, Connecticut: 6-23 months"
2021-22,SEP,1665,53615.5,Mississippi,0.0311,6-23 months,"2021-22, Mississippi: 6-23 months"
2022-23,OCT,,,Hawaii,,6 months to 17 years,"2022-23, Hawaii: 6 months to 17 years"
2022-23,OCT,696108,3380729,Oregon,0.2059,18+ years,"2022-23, Oregon: 18+ years"
2022-23,SEP,314911,1510028,New Jersey,0.2085,65+ years,"2022-23, New Jersey: 65+ years"
